Code,Region/Country/Area,Year,Series,Value,Footnotes,Source
202,Sub-Saharan Africa,1985,GDP in current prices (millions of US dollars),408545.9134,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,1995,GDP in current prices (millions of US dollars),377332.1977,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2005,GDP in current prices (millions of US dollars),754498.0757,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2010,GDP in current prices (millions of US dollars),1319728.83,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2015,GDP in current prices (millions of US dollars),1576603.594,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2017,GDP in current prices (millions of US dollars),1573038.556,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2018,GDP in current prices (millions of US dollars),1699026.848,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,1985,GDP per capita (US dollars),972.769,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,1995,GDP per capita (US dollars),680.0759,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2005,GDP per capita (US dollars),1046.1384,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2010,GDP per capita (US dollars),1579.9093,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2015,GDP per capita (US dollars),1646.6385,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2017,GDP per capita (US dollars),1557.0108,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2018,GDP per capita (US dollars),1637.6493,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,1985,GDP in constant 2010 prices (millions of US dollars),513782.6766,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,1995,GDP in constant 2010 prices (millions of US dollars),606748.7139,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2005,GDP in constant 2010 prices (millions of US dollars),941945.9112,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2010,GDP in constant 2010 prices (millions of US dollars),1258249.401,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2015,GDP in constant 2010 prices (millions of US dollars),1576603.594,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2017,GDP in constant 2010 prices (millions of US dollars),1637880.675,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2018,GDP in constant 2010 prices (millions of US dollars),1687111.269,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,1985,GDP real rates of growth (percent),2.1664,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,1995,GDP real rates of growth (percent),3.3265,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2005,GDP real rates of growth (percent),6.2879,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2010,GDP real rates of growth (percent),6.1253,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2015,GDP real rates of growth (percent),2.9588,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2017,GDP real rates of growth (percent),2.6818,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
202,Sub-Saharan Africa,2018,GDP real rates of growth (percent),3.0057,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1985,GDP in current prices (millions of US dollars),65429.6753,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,1995,GDP in current prices (millions of US dollars),69248.4075,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
14,Eastern Africa,2005,GDP in current prices (millions of US dollars),112226.9976,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2020."
